agency_id,agency_name,agency_url,agency_phone,agency_timezone,agency_lang
1,BC Transit - Victoria Regional Transit System,http://www.bctransit.com/victoria/,250-382-6161,America/Vancouver,en
3,BC Transit - Whistler Transit System,http://www.bctransit.com/whistler/,604-932-4020,America/Vancouver,en
4,BC Transit - Squamish Transit System,http://www.bctransit.com/squamish/,604-892-5559,America/Vancouver,en
5,BC Transit - RDN Transit System,http://www.bctransit.com/nanaimo/,250-390-4531,America/Vancouver,en
6,BC Transit - Central Fraser Valley Transit System,http://www.bctransit.com/central-fraser-valley/,604-854-3232,America/Vancouver,en
7,BC Transit - Kelowna Regional Transit System,http://www.bctransit.com/kelowna/,250-860-8121,America/Vancouver,en
8,BC Transit - Kamloops Transit System,http://www.bctransit.com/kamloops/,250-376-1216,America/Vancouver,en
9,BC Transit - Prince George Transit System,http://www.bctransit.com/prince-george/,250-563-0011,America/Vancouver,en
12,BC Transit - Comox Valley Transit System,http://www.bctransit.com/comox-valley/,250-339-5453,America/Vancouver,en
19,BC Transit - Chilliwack Transit System,http://www.bctransit.com/chilliwack/,604-795-3838,America/Vancouver,en
20,BC Transit - Fraser Valley Express,http://www.bctransit.com/chilliwack/,604-795-3838,America/Vancouver,en
